move_id,name,type,category,power,accuracy,pp,priority,target,contact,status_effect,stat_effect,effect_description,source,source_url,category_gen1,damage_model,is_damaging,is_fixed_damage,is_ohko,multi_hit_min,multi_hit_max,two_turn,high_crit_ratio,recoil_fraction,drain_fraction,self_faints,standard_formula_power,mechanics_source,mechanics_source_url,raw_power_gen1,multi_hit_distribution,two_turn_description,special_rule
11,Bite,Normal,Physical,60.0,100.0,25,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to make the target flinch.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,60.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,60.0,,,
12,Blizzard,Ice,Special,120.0,90.0,5,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to freeze the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,120.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,120.0,,,
13,Body Slam,Normal,Physical,85.0,100.0,15,0,single_opponent,not_defined_in_gen1,,,Has a ~30% chance to paralyze the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,85.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,85.0,,,
14,Bone Club,Ground,Physical,65.0,85.0,20,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to make the target flinch.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,65.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,65.0,,,
15,Bonemerang,Ground,Physical,50.0,90.0,10,0,single_opponent,not_defined_in_gen1,,,"Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,50.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,50.0,,,
16,Bubble,Water,Special,20.0,100.0,30,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to lower the target's Speed by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,20.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,20.0,,,
17,Bubblebeam,Water,Special,65.0,100.0,20,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to lower the target's Speed by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,65.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,65.0,,,
18,Clamp,Water,Special,35.0,75.0,10,0,single_opponent,not_defined_in_gen1,,,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,35.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,35.0,,,
19,Comet Punch,Normal,Physical,18.0,85.0,15,0,single_opponent,not_defined_in_gen1,,,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,multi_hit,True,False,False,2.0,5.0,False,1,,,False,18.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,18.0,2:3/8;3:3/8;4:1/8;5:1/8,,
20,Confuse Ray,Ghost,Physical,,100.0,10,0,single_opponent,not_defined_in_gen1,,,Confuses the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
21,Confusion,Psychic,Special,50.0,100.0,25,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to confuse the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,50.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,50.0,,,
22,Constrict,Normal,Physical,10.0,100.0,35,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to lower the target's Speed by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,10.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,10.0,,,
23,Conversion,Normal,Physical,,,30,0,single_opponent,not_defined_in_gen1,,,The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
24,Counter,Fighting,Physical,,100.0,20,0,single_opponent,not_defined_in_gen1,,,"Almost always goes last; if an opponent strikes with a Normal- or Fighting-type attack before the user's turn, the user retaliates for twice the damage it had endured.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,counter,True,True,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,"If hit by Normal/Fighting physical damage before user acts, return 2x damage received; Gen I is last-priority-like."
25,Crabhammer,Water,Special,90.0,85.0,10,0,single_opponent,not_defined_in_gen1,,,Has a high critical hit ratio.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_high_crit,True,False,False,,,False,8,,,False,90.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,90.0,,,
26,Cut,Normal,Physical,50.0,95.0,30,0,single_opponent,not_defined_in_gen1,,,Damages the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,50.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,50.0,,,
27,Defense Curl,Normal,Physical,,,40,0,single_opponent,not_defined_in_gen1,,,Raises the user's Defense by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
28,Dig,Ground,Physical,100.0,100.0,10,0,single_opponent,not_defined_in_gen1,,,"On the first turn, the user digs underground, becoming uncontrollable, and evades all attacks. Swift may still hit a Pokemon underground. On the second turn, the user attacks.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,two_turn,True,False,False,,,True,1,,,False,100.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,100.0,,turn_1_prepare;turn_2_attack,
29,Disable,Normal,Physical,,55.0,20,0,single_opponent,not_defined_in_gen1,,,One randomly selected move of the target's cannot be selected for 1-7 turns. Disable only works on one move at a time. The target does nothing if it is about to use a move that becomes disabled.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
30,Dizzy Punch,Normal,Physical,70.0,100.0,10,0,single_opponent,not_defined_in_gen1,,,Damages the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,70.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,70.0,,,
31,Double Kick,Fighting,Physical,30.0,100.0,30,0,single_opponent,not_defined_in_gen1,,,"Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,30.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,30.0,,,
32,Double Team,Normal,Physical,,,15,0,single_opponent,not_defined_in_gen1,,,Raises the user's Evasion by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
33,Double-edge,Normal,Physical,100.0,100.0,15,0,single_opponent,not_defined_in_gen1,,,The user receives 1/4 recoil damage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_plus_recoil,True,False,False,,,False,1,0.25,,False,100.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,100.0,,,
34,Doubleslap,Normal,Physical,15.0,85.0,10,0,single_opponent,not_defined_in_gen1,,,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,15.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,15.0,,,
35,Dragon Rage,Dragon,Special,,100.0,10,0,single_opponent,not_defined_in_gen1,,,Always deals 40 points of damage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,fixed_40,True,True,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,Fixed 40 damage.
36,Dream Eater,Psychic,Special,100.0,100.0,15,0,single_opponent,not_defined_in_gen1,,,Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_plus_drain,True,False,False,,,False,1,,0.5,False,100.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,100.0,,,
37,Drill Peck,Flying,Physical,80.0,100.0,20,0,single_opponent,not_defined_in_gen1,,,Damages the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,80.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,80.0,,,
38,Earthquake,Ground,Physical,100.0,100.0,10,0,single_opponent,not_defined_in_gen1,,,Damages the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,100.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,100.0,,,
39,Egg Bomb,Normal,Physical,100.0,75.0,10,0,single_opponent,not_defined_in_gen1,,,Damages the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,100.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,100.0,,,
40,Ember,Fire,Special,40.0,100.0,25,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to burn the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,40.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,40.0,,,
41,Explosion,Normal,Physical,170.0,100.0,5,0,single_opponent,not_defined_in_gen1,,,"The Defense stat of other Pokemon is halved against this attack, essentially doubling the move's base power; causes the user to faint.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,self_destruct,True,False,False,,,False,1,,,True,170.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,170.0,,,Uses standard damage with Gen I Defense-halving mechanic; user faints after successful use.
42,Fire Blast,Fire,Special,120.0,85.0,5,0,single_opponent,not_defined_in_gen1,,,Has a ~30% chance to burn the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,120.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,120.0,,,
43,Fire Punch,Fire,Special,75.0,100.0,15,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to burn the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,75.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,75.0,,,
44,Fire Spin,Fire,Special,15.0,85.0,15,0,single_opponent,not_defined_in_gen1,,,"The user becomes uncontrollable and attacks for 2-5 consecutive turns; the target cannot make attacks of its own during this time, but it may switch out, use items or run away.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,15.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,15.0,,,
45,Fissure,Ground,Physical,,30.0,5,0,single_opponent,not_defined_in_gen1,,,The target faints; doesn't work on faster or higher-leveled Pokemon.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,ohko,True,False,True,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,OHKO if accuracy check succeeds and target is not higher level/faster as applicable to Gen I rules.
46,Flamethrower,Fire,Special,95.0,100.0,15,0,single_opponent,not_defined_in_gen1,,,Has a ~10% chance to burn the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,standard_formula,True,False,False,,,False,1,,,False,95.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,95.0,,,
47,Flash,Normal,Physical,,70.0,20,0,single_opponent,not_defined_in_gen1,,,Lowers the target's Accuracy by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
48,Fly,Flying,Physical,70.0,95.0,15,0,single_opponent,not_defined_in_gen1,,,"On the first turn, the user flies into the air, becoming uncontrollable, and evades most attacks. Swift may still hit a Pokemon in the air. On the second turn, the user attacks.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,two_turn,True,False,False,,,True,1,,,False,70.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,70.0,,turn_1_prepare;turn_2_attack,
49,Focus Energy,Normal,Physical,,,30,0,single_opponent,not_defined_in_gen1,,,"Decreases critical hit ratio in-game, but raises it in Pokemon Stadium.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
50,Fury Attack,Normal,Physical,15.0,85.0,20,0,single_opponent,not_defined_in_gen1,,,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,multi_hit,True,False,False,2.0,5.0,False,1,,,False,15.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,15.0,2:3/8;3:3/8;4:1/8;5:1/8,,
51,Fury Swipes,Normal,Physical,10.0,80.0,15,0,single_opponent,not_defined_in_gen1,,,"Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,multi_hit,True,False,False,2.0,5.0,False,1,,,False,10.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,10.0,2:3/8;3:3/8;4:1/8;5:1/8,,
52,Glare,Normal,Physical,,75.0,30,0,single_opponent,not_defined_in_gen1,,,Paralyzes the target. This move works on Ghost-type Pokemon.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
53,Growl,Normal,Physical,,100.0,40,0,single_opponent,not_defined_in_gen1,,,Lowers the target's Attack by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
54,Growth,Normal,Physical,,,40,0,single_opponent,not_defined_in_gen1,,,Raises the user's Special by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
55,Guillotine,Normal,Physical,,30.0,5,0,single_opponent,not_defined_in_gen1,,,The target faints; doesn't work on faster or higher-leveled Pokemon.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,ohko,True,False,True,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,OHKO if accuracy check succeeds and target is not higher level/faster as applicable to Gen I rules.
56,Gust,Normal,Physical,40.0,100.0,35,0,single_opponent,not_defined_in_gen1,,,Damages the target.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,40.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,40.0,,,
57,Harden,Normal,Physical,,,30,0,single_opponent,not_defined_in_gen1,,,Raises the user's Defense by 1 stage.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
58,Haze,Ice,Special,,,30,0,single_opponent,not_defined_in_gen1,,,"Eliminates any stat modifiers from all active Pokemon. Also removes Leech Seed, Reflect and Light Screen from either Pokemon and cures the opponent of any status conditions (including Toxic). If the user of Haze has Toxic poisoning, it will be downgraded to regular poisoning.",User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Special,status,False,False,False,,,False,1,,,False,,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,,,,
59,Headbutt,Normal,Physical,70.0,100.0,15,0,single_opponent,not_defined_in_gen1,,,Has a ~30% chance to make the target flinch.,User-provided moves.csv cross-checked against Pokémon Database Generation I move list,https://pokemondb.net/move/generation/1,Physical,standard_formula,True,False,False,,,False,1,,,False,70.0,Bulbapedia Generation I move/damage mechanics; supplied Gen-I move dataset cross-check,https://bulbapedia.bulbagarden.net/wiki/Damage,70.0,,,
